project_county_name,project_state,total,kabbage_total,kabbage_pct,state_code,state_name,county_code,county,fips_code
ABBEVILLE,SC,324,8,0.024691358024691357,45,South Carolina,001,Abbeville County,45001
ACADIA,LA,1306,8,0.006125574272588055,22,Louisiana,001,Acadia Parish,22001
ACCOMACK,VA,462,1,0.0021645021645021645,51,Virginia,001,Accomack County,51001
ADA,ID,11258,51,0.004530111920412152,16,Idaho,001,Ada County,16001
ADAIR,KY,962,2,0.002079002079002079,21,Kentucky,001,Adair County,21001
ADAMS,CO,7481,146,0.019516107472263067,08,Colorado,001,Adams County,08001
ADAMS,IL,2240,7,0.003125,17,Illinois,001,Adams County,17001
ADAMS,IN,563,2,0.003552397868561279,18,Indiana,001,Adams County,18001
ADAMS,MS,1096,25,0.02281021897810219,28,Mississippi,001,Adams County,28001
ADAMS,OH,432,4,0.009259259259259259,39,Ohio,001,Adams County,39001
ADAMS,PA,1313,5,0.003808073115003808,42,Pennsylvania,001,Adams County,42001
ADAMS,WA,313,1,0.003194888178913738,53,Washington,001,Adams County,53001
AIKEN,SC,2415,34,0.014078674948240166,45,South Carolina,003,Aiken County,45003
ALACHUA,FL,5540,156,0.02815884476534296,12,Florida,001,Alachua County,12001
ALBANY,NY,6413,64,0.009979728676126618,36,New York,001,Albany County,36001
ALBANY,WY,724,3,0.004143646408839779,56,Wyoming,001,Albany County,56001
ALBEMARLE,VA,1803,26,0.014420410427066,51,Virginia,003,Albemarle County,51003
ALCONA,MI,134,2,0.014925373134328358,26,Michigan,001,Alcona County,26001
ALCORN,MS,944,1,0.001059322033898305,28,Mississippi,003,Alcorn County,28003
ALEUTIANS EAST,AK,72,1,0.013888888888888888,02,Alaska,013,Aleutians East Borough,02013
ALEUTIANS WEST,AK,47,1,0.02127659574468085,NA,NA,NA,NA,NA
ALEXANDRIA CITY,VA,4860,155,0.03189300411522634,51,Virginia,510,Alexandria city,51510
ALLAMAKEE,IA,973,4,0.0041109969167523125,19,Iowa,005,Allamakee County,19005
ALLEGAN,MI,1637,9,0.005497861942577886,26,Michigan,005,Allegan County,26005
ALLEGANY,MD,880,11,0.0125,24,Maryland,001,Allegany County,24001
ALLEGANY,NY,393,5,0.01272264631043257,36,New York,003,Allegany County,36003
ALLEGHENY,PA,24345,246,0.010104744300677758,42,Pennsylvania,003,Allegheny County,42003
ALLEN,IN,6973,66,0.009465079592714757,18,Indiana,003,Allen County,18003
ALLEN,KS,421,6,0.014251781472684086,20,Kansas,001,Allen County,20001
ALLEN,KY,405,1,0.0024691358024691358,21,Kentucky,003,Allen County,21003
ALLEN,LA,236,4,0.01694915254237288,22,Louisiana,003,Allen Parish,22003
ALLEN,OH,1891,5,0.0026441036488630354,39,Ohio,003,Allen County,39003
ALLENDALE,SC,226,1,0.004424778761061947,45,South Carolina,005,Allendale County,45005
ALPENA,MI,465,3,0.0064516129032258064,26,Michigan,007,Alpena County,26007
AMELIA,VA,230,2,0.008695652173913044,51,Virginia,007,Amelia County,51007
AMHERST,VA,258,4,0.015503875968992248,51,Virginia,009,Amherst County,51009
AMITE,MS,360,2,0.005555555555555556,28,Mississippi,005,Amite County,28005
ANCHORAGE,AK,6315,47,0.007442596991290578,NA,NA,NA,NA,NA
ANDERSON,KS,436,1,0.0022935779816513763,20,Kansas,003,Anderson County,20003
ANDERSON,KY,305,3,0.009836065573770493,21,Kentucky,005,Anderson County,21005
ANDERSON,SC,2921,31,0.010612803834303321,45,South Carolina,007,Anderson County,45007
ANDERSON,TN,961,14,0.014568158168574402,47,Tennessee,001,Anderson County,47001
ANDERSON,TX,739,6,0.008119079837618403,48,Texas,001,Anderson County,48001
ANDREWS,TX,401,1,0.0024937655860349127,48,Texas,003,Andrews County,48003
ANDROSCOGGIN,ME,1682,10,0.005945303210463734,23,Maine,001,Androscoggin County,23001
ANGELINA,TX,1527,10,0.006548788474132285,48,Texas,005,Angelina County,48005
ANNE ARUNDEL,MD,11750,257,0.021872340425531916,24,Maryland,003,Anne Arundel County,24003
ANOKA,MN,5853,50,0.008542627712284298,27,Minnesota,003,Anoka County,27003
ANTRIM,MI,357,2,0.0056022408963585435,26,Michigan,009,Antrim County,26009
APACHE,AZ,210,3,0.014285714285714285,04,Arizona,001,Apache County,04001
APPLING,GA,516,3,0.005813953488372093,13,Georgia,001,Appling County,13001
APPOMATTOX,VA,253,3,0.011857707509881422,51,Virginia,011,Appomattox County,51011
ARANSAS,TX,444,4,0.009009009009009009,48,Texas,007,Aransas County,48007
