"zip","city","county","pop"
"20906","Silver Spring","Montgomery","70749"
"21234","Parkville","Baltimore","68381"
"20878","Gaithersburg","Montgomery","63030"
"21740","Hagerstown","Washington","61768"
"20874","Germantown","Montgomery","61087"
"21122","Pasadena","Anne Arundel","61051"
"21117","Owings Mills","Baltimore","59301"
"21215","Baltimore","Baltimore City","58283"
"20904","Silver Spring","Montgomery","55275"
"21222","Dundalk","Baltimore","55212"
"20744","Fort Washington","Prince Georges","54925"
"21061","Glen Burnie","Anne Arundel","53860"
"20850","Rockville","Montgomery","53176"
"20902","Silver Spring","Montgomery","52908"
"21206","Baltimore","Baltimore City","52020"
"21224","Baltimore","Baltimore City","49332"
"20854","Potomac","Montgomery","49189"
"21207","Gwynn Oak","Baltimore","48872"
"21228","Catonsville","Baltimore","48196"
"21218","Baltimore","Baltimore City","47555"
"21043","Ellicott City","Howard","47351"
"20774","Upper Marlboro","Prince Georges","47165"
"20852","Rockville","Montgomery","46178"
"21921","Elkton","Cecil","46162"
"21229","Baltimore","Baltimore City","45921"
"20772","Upper Marlboro","Prince Georges","45321"
"20783","Hyattsville","Prince Georges","45302"
"20910","Silver Spring","Montgomery","44301"
"21044","Columbia","Howard","44256"
"20706","Lanham","Prince Georges","43670"
"21502","Cumberland","Allegany","42391"
"21221","Essex","Baltimore","42078"
"21702","Frederick","Frederick","41815"
"21042","Ellicott City","Howard","41195"
"21220","Middle River","Baltimore","41051"
"21804","Salisbury","Wicomico","40877"
"20747","District Heights","Prince Georges","40484"
"21045","Columbia","Howard","40365"
"21236","Nottingham","Baltimore","39707"
"20748","Temple Hills","Prince Georges","38904"
"20785","Hyattsville","Prince Georges","38878"
"20877","Gaithersburg","Montgomery","38423"
"21401","Annapolis","Anne Arundel","38315"
"20735","Clinton","Prince Georges","38220"
"21093","Lutherville Timonium","Baltimore","37996"
"20743","Capitol Heights","Prince Georges","37888"
"21157","Westminster","Carroll","37749"
"21703","Frederick","Frederick","37473"
"21784","Sykesville","Carroll","37365"
"20817","Bethesda","Montgomery","37315"
"21701","Frederick","Frederick","37017"
"21014","Bel Air","Harford","36538"
"21244","Windsor Mill","Baltimore","36394"
"20901","Silver Spring","Montgomery","36278"
"20723","Laurel","Howard","35411"
"21144","Severn","Anne Arundel","35335"
"21208","Pikesville","Baltimore","35266"
"21060","Glen Burnie","Anne Arundel","34899"
"20886","Montgomery Village","Montgomery","34834"
"21113","Odenton","Anne Arundel","34473"
"21225","Brooklyn","Anne Arundel","34363"
"21230","Baltimore","Baltimore City","34274"
"21136","Reisterstown","Baltimore","34177"
"21075","Elkridge","Howard","33726"
"21217","Baltimore","Baltimore City","33644"
"21227","Halethorpe","Baltimore","33589"
"21742","Hagerstown","Washington","33483"
"21212","Baltimore","Baltimore City","33431"
"20782","Hyattsville","Prince Georges","33398"
"21133","Randallstown","Baltimore","33299"
"20707","Laurel","Prince Georges","32798"
"20603","Waldorf","Charles","31975"
"21403","Annapolis","Anne Arundel","31377"
"20740","College Park","Prince Georges","31349"
"20853","Rockville","Montgomery","31061"
"21213","Baltimore","Baltimore City","31007"
"20876","Germantown","Montgomery","30778"
"20815","Chevy Chase","Montgomery","30664"
"21239","Baltimore","Baltimore City","30424"
"20784","Hyattsville","Prince Georges","30270"
"21216","Baltimore","Baltimore City","30179"
"21237","Rosedale","Baltimore","30129"
"21009","Abingdon","Harford","29905"
"21771","Mount Airy","Frederick","29901"
"21801","Salisbury","Wicomico","29866"
"20721","Bowie","Prince Georges","29730"
"21015","Bel Air","Harford","29199"
"20814","Bethesda","Montgomery","29021"
"21209","Baltimore","Baltimore City","28309"
"20903","Silver Spring","Montgomery","27973"
"20708","Laurel","Prince Georges","27843"
"20745","Oxon Hill","Prince Georges","27790"
"20705","Beltsville","Prince Georges","27663"
"20715","Bowie","Prince Georges","27556"
"21146","Severna Park","Anne Arundel","27555"
"21114","Crofton","Anne Arundel","27303"
